id,name,first_name,middle_name,last_name,cpf,email,phone,ra_number,gr_no,company_id/id,student_category,capes_status,gender,birth_date,admission_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,highest_degree,academic_level,orcid,lattes_url,street,city,zip,advisor_id/id,coadvisor_id/id,english_proficiency_status,portuguese_proficiency_status
stu_mptrcs_t1_11,Sérgio Cavalcanti Lacerda,Sérgio,Cavalcanti,Lacerda,91616237929,sérgio.lacerda_311@ipen.br,(11) 99453-0019,RA2022011,RA2022011,comp_ies_ipen,alumni,graduated,m,1993-07-22,2022-03-01,Sandra do Carmo Lacerda,brown,False,Recife,PE,base.br,bachelor,grad,0000-0002-4011-0143,http://lattes.cnpq.br/916162379290002,"Av. Brigadeiro Luís Antônio, 287",Recife,01741-569,fac_mptrcs_11,,approved,not_applicable
stu_mptrcs_t1_12,Fabiana Gomes Mascarenhas,Fabiana,Gomes,Mascarenhas,23051353604,fabiana.mascarenhas_312@ipen.br,(11) 99476-0048,RA2022012,RA2022012,comp_ies_ipen,alumni,graduated,f,1994-07-22,2022-03-01,Maria de Lourdes Mascarenhas,black,False,São Paulo,SP,base.br,bachelor,grad,0000-0002-4012-0156,http://lattes.cnpq.br/230513536040002,"Av. Lineu Prestes, 304",São Paulo,01772-588,fac_mptrcs_12,fac_mptrcs_04,approved,not_applicable
stu_mptrcs_t1_13,Victor Mendes Noronha,Victor,Mendes,Noronha,68761492345,victor.noronha_313@ipen.br,(11) 99499-0077,RA2022013,RA2022013,comp_ies_ipen,alumni,graduated,m,1995-07-22,2022-03-01,Sônia Cristina Noronha,yellow,False,Campinas,SP,base.br,bachelor,grad,0000-0002-4013-0169,http://lattes.cnpq.br/687614923450002,"Av. Paulista, 321",Campinas,01803-607,fac_mptrcs_01,,approved,not_applicable
stu_mptrcs_t1_14,Flávia Oliveira Rangel,Flávia,Oliveira,Rangel,36766014911,flávia.rangel_314@ipen.br,(11) 99522-0106,RA2022014,RA2022014,comp_ies_ipen,alumni,graduated,f,1996-07-22,2022-03-01,Lúcia Célia Rangel,indigenous,False,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-4014-0182,http://lattes.cnpq.br/367660149110002,"Rua da Consolação, 338",Ribeirão Preto,01834-626,fac_mptrcs_02,,approved,not_applicable
stu_mptrcs_t1_15,Carlos Santana Sobral,Carlos,Santana,Sobral,67025160024,carlos.sobral_315@ipen.br,(11) 99545-0135,RA2022015,RA2022015,comp_ies_ipen,alumni,graduated,m,1997-07-22,2022-03-01,Sandra Beatriz Sobral,white,False,São José dos Campos,SP,base.br,bachelor,grad,0000-0002-4015-0195,http://lattes.cnpq.br/670251600240002,"Rua Augusta, 355",São José dos Campos,01865-645,fac_mptrcs_03,,approved,not_applicable
stu_mptrcs_t2_01,Gisele Teixeira Alcantara,Gisele,Teixeira,Alcantara,71383858039,gisele.alcantara_316@ipen.br,(11) 99568-0164,RA2023001,RA2023001,comp_ies_ipen,alumni,graduated,f,1998-07-22,2023-03-01,Maria das Graças Alcantara,white,False,Santos,SP,base.br,bachelor,grad,0000-0002-4016-0208,http://lattes.cnpq.br/713838580390002,"Rua Vergueiro, 372",Santos,01896-664,fac_mptrcs_04,fac_mptrcs_08,approved,not_applicable
stu_mptrcs_t2_02,Lucas Correia Chaves,Lucas,Correia,Chaves,81190747502,lucas.chaves_317@ipen.br,(11) 99591-0193,RA2023002,RA2023002,comp_ies_ipen,alumni,graduated,m,1999-07-22,2023-03-01,Sônia Aparecida Chaves,brown,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-4017-0221,http://lattes.cnpq.br/811907475020002,"Av. Rebouças, 389",Sorocaba,01927-683,fac_mptrcs_05,,approved,not_applicable
stu_mptrcs_t2_03,Isabela Guimarães Guedes,Isabela,Guimarães,Guedes,80995208310,isabela.guedes_318@ipen.br,(11) 99614-0222,RA2023003,RA2023003,comp_ies_ipen,alumni,graduated,f,1991-07-22,2023-03-01,Lúcia Helena Guedes,brown,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-4018-0234,http://lattes.cnpq.br/809952083100002,"Rua Domingos de Morais, 406",Belo Horizonte,01958-702,fac_mptrcs_06,,approved,not_applicable
stu_mptrcs_t2_04,Guilherme Miranda Marcondes,Guilherme,Miranda,Marcondes,65134382760,guilherme.marcondes_319@ipen.br,(11) 99637-0251,RA2023004,RA2023004,comp_ies_ipen,alumni,graduated,m,1992-07-22,2023-03-01,Sandra do Carmo Marcondes,black,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-4019-0247,http://lattes.cnpq.br/651343827600002,"Av. Angélica, 423",Curitiba,01989-721,fac_mptrcs_07,,approved,not_applicable
stu_mptrcs_t2_05,Jaqueline Pereira Neves,Jaqueline,Pereira,Neves,81294410121,jaqueline.neves_320@ipen.br,(11) 99660-0280,RA2023005,RA2023005,comp_ies_ipen,alumni,graduated,f,1993-07-22,2023-03-01,Maria de Lourdes Neves,yellow,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-4020-0260,http://lattes.cnpq.br/812944101210002,"Rua Teodoro Sampaio, 440",Rio de Janeiro,02020-740,fac_mptrcs_08,fac_mptrcs_12,approved,not_applicable
stu_mptrcs_t2_06,Rodrigo Santos Porto,Rodrigo,Santos,Porto,47442984789,rodrigo.porto_321@ipen.br,(11) 99683-0309,RA2023006,RA2023006,comp_ies_ipen,alumni,graduated,m,1994-07-22,2023-03-01,Sônia Cristina Porto,indigenous,False,Porto Alegre,RS,base.br,bachelor,grad,0000-0002-4021-0273,http://lattes.cnpq.br/474429847890002,"Av. Faria Lima, 457",Porto Alegre,02051-759,fac_mptrcs_09,,approved,not_applicable
stu_mptrcs_t2_07,Laura Vieira Serra,Laura,Vieira,Serra,08941015448,laura.serra_322@ipen.br,(11) 99706-0338,RA2023007,RA2023007,comp_ies_ipen,alumni,graduated,f,1995-07-22,2023-03-01,Lúcia Célia Serra,white,False,Salvador,BA,base.br,bachelor,grad,0000-0002-4022-0286,http://lattes.cnpq.br/089410154480002,"Rua Bela Cintra, 474",Salvador,02082-778,fac_mptrcs_10,,approved,not_applicable
stu_mptrcs_t2_08,Thiago Costa Wanderley,Thiago,Costa,Wanderley,27623126636,thiago.wanderley_323@ipen.br,(11) 99729-0367,RA2023008,RA2023008,comp_ies_ipen,alumni,graduated,m,1996-07-22,2023-03-01,Sandra Beatriz Wanderley,white,False,Recife,PE,base.br,bachelor,grad,0000-0002-4023-0299,http://lattes.cnpq.br/276231266360002,"Av. Brigadeiro Luís Antônio, 491",Recife,02113-797,fac_mptrcs_11,,approved,not_applicable
stu_mptrcs_t2_09,Luana Lima Camargo,Luana,Lima,Camargo,74562041013,luana.camargo_324@ipen.br,(11) 99752-0396,RA2023009,RA2023009,comp_ies_ipen,alumni,graduated,f,1997-07-22,2023-03-01,Maria das Graças Camargo,brown,False,São Paulo,SP,base.br,bachelor,grad,0000-0002-4024-0312,http://lattes.cnpq.br/745620410130002,"Av. Lineu Prestes, 508",São Paulo,02144-816,fac_mptrcs_12,fac_mptrcs_04,approved,not_applicable
stu_mptrcs_t2_10,Alexandre Monteiro Fragoso,Alexandre,Monteiro,Fragoso,84803906548,alexandre.fragoso_325@ipen.br,(11) 99775-0425,RA2023010,RA2023010,comp_ies_ipen,alumni,graduated,m,1998-07-22,2023-03-01,Sônia Aparecida Fragoso,brown,True,Campinas,SP,base.br,bachelor,grad,0000-0002-4025-0325,http://lattes.cnpq.br/848039065480002,"Av. Paulista, 525",Campinas,02175-835,fac_mptrcs_01,,approved,not_applicable
stu_mptrcs_t2_11,Manuela Pinto Maia,Manuela,Pinto,Maia,57641480810,manuela.maia_326@ipen.br,(11) 99798-0454,RA2023011,RA2023011,comp_ies_ipen,alumni,graduated,f,1999-07-22,2023-03-01,Lúcia Helena Maia,black,False,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-4026-0338,http://lattes.cnpq.br/576414808100002,"Rua da Consolação, 542",Ribeirão Preto,02206-854,fac_mptrcs_02,,approved,not_applicable
stu_mptrcs_t2_12,Bernardo Silva Muniz,Bernardo,Silva,Muniz,49702580900,bernardo.muniz_327@ipen.br,(11) 99821-0483,RA2023012,RA2023012,comp_ies_ipen,alumni,graduated,m,1991-07-22,2023-03-01,Sandra do Carmo Muniz,yellow,False,São José dos Campos,SP,base.br,bachelor,grad,0000-0002-4027-0351,http://lattes.cnpq.br/497025809000002,"Rua Augusta, 559",São José dos Campos,02237-873,fac_mptrcs_03,,approved,not_applicable
stu_mptrcs_t2_13,Natália Alves Pontes,Natália,Alves,Pontes,06386765842,natália.pontes_328@ipen.br,(11) 99844-0512,RA2023013,RA2023013,comp_ies_ipen,alumni,graduated,f,1992-07-22,2023-03-01,Maria de Lourdes Pontes,indigenous,False,Santos,SP,base.br,bachelor,grad,0000-0002-4028-0364,http://lattes.cnpq.br/063867658420002,"Rua Vergueiro, 576",Santos,02268-002,fac_mptrcs_04,fac_mptrcs_08,approved,not_applicable
stu_mptrcs_t2_14,César Dias Sardenberg,César,Dias,Sardenberg,47019013856,césar.sardenberg_329@ipen.br,(11) 99867-0541,RA2023014,RA2023014,comp_ies_ipen,alumni,graduated,m,1993-07-22,2023-03-01,Sônia Cristina Sardenberg,white,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-4029-0377,http://lattes.cnpq.br/470190138560002,"Av. Rebouças, 593",Sorocaba,02299-021,fac_mptrcs_05,,approved,not_applicable
stu_mptrcs_t2_15,Rachel Lopes Vidal,Rachel,Lopes,Vidal,33473078794,rachel.vidal_330@ipen.br,(11) 99890-0570,RA2023015,RA2023015,comp_ies_ipen,alumni,graduated,f,1994-07-22,2023-03-01,Lúcia Célia Vidal,white,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-4030-0390,http://lattes.cnpq.br/334730787940002,"Rua Domingos de Morais, 610",Belo Horizonte,02330-040,fac_mptrcs_06,,approved,not_applicable
stu_mptrcs_t3_01,Danilo Moraes Bueno,Danilo,Moraes,Bueno,96558017806,danilo.bueno_331@ipen.br,(11) 98013-0599,RA2024001,RA2024001,comp_ies_ipen,alumni,graduated,m,1995-07-22,2024-03-01,Sandra Beatriz Bueno,brown,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-4031-0403,http://lattes.cnpq.br/965580178060002,"Av. Angélica, 627",Curitiba,02361-059,fac_mptrcs_07,,approved,not_applicable
stu_mptrcs_t3_02,Roberta Ramos Figueira,Roberta,Ramos,Figueira,36247992661,roberta.figueira_332@ipen.br,(11) 98036-0628,RA2024002,RA2024002,comp_ies_ipen,alumni,graduated,f,1996-07-22,2024-03-01,Maria das Graças Figueira,brown,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-4032-0416,http://lattes.cnpq.br/362479926610002,"Rua Teodoro Sampaio, 644",Rio de Janeiro,02392-078,fac_mptrcs_08,fac_mptrcs_12,approved,not_applicable
stu_mptrcs_t3_03,Fábio Silveira Loyola,Fábio,Silveira,Loyola,14085573390,fábio.loyola_333@ipen.br,(11) 98059-0657,RA2024003,RA2024003,comp_ies_ipen,alumni,graduated,m,1997-07-22,2024-03-01,Sônia Aparecida Loyola,black,False,Porto Alegre,RS,base.br,bachelor,grad,0000-0002-4033-0429,http://lattes.cnpq.br/140855733900002,"Av. Faria Lima, 661",Porto Alegre,02423-097,fac_mptrcs_09,,approved,not_applicable
stu_mptrcs_t3_04,Tatiana Barbosa Montenegro,Tatiana,Barbosa,Montenegro,90809146304,tatiana.montenegro_334@ipen.br,(11) 98082-0686,RA2024004,RA2024004,comp_ies_ipen,alumni,graduated,f,1998-07-22,2024-03-01,Lúcia Helena Montenegro,yellow,False,Salvador,BA,base.br,bachelor,grad,0000-0002-4034-0442,http://lattes.cnpq.br/908091463040002,"Rua Bela Cintra, 678",Salvador,02454-116,fac_mptrcs_10,,approved,not_applicable
stu_mptrcs_t3_05,Henrique Duarte Pimentel,Henrique,Duarte,Pimentel,42062449607,henrique.pimentel_335@ipen.br,(11) 98105-0715,RA2024005,RA2024005,comp_ies_ipen,alumni,graduated,m,1999-07-22,2024-03-01,Sandra do Carmo Pimentel,indigenous,False,Recife,PE,base.br,bachelor,grad,0000-0002-4035-0455,http://lattes.cnpq.br/420624496070002,"Av. Brigadeiro Luís Antônio, 695",Recife,02485-135,fac_mptrcs_11,,approved,not_applicable
stu_mptrcs_t3_06,Mariana Macedo Salles,Mariana,Macedo,Salles,45917438536,mariana.salles_336@ipen.br,(11) 98128-0744,RA2024006,RA2024006,comp_ies_ipen,alumni,graduated,f,1991-07-22,2024-03-01,Maria de Lourdes Salles,white,False,São Paulo,SP,base.br,bachelor,grad,0000-0002-4036-0468,http://lattes.cnpq.br/459174385360002,"Av. Lineu Prestes, 712",São Paulo,02516-154,fac_mptrcs_12,fac_mptrcs_04,approved,not_applicable
stu_mptrcs_t3_07,João Moreira Valle,João,Moreira,Valle,17550926794,joão.valle_337@ipen.br,(11) 98151-0773,RA2024007,RA2024007,comp_ies_ipen,alumni,graduated,m,1992-07-22,2024-03-01,Sônia Cristina Valle,white,False,Campinas,SP,base.br,bachelor,grad,0000-0002-4037-0481,http://lattes.cnpq.br/175509267940002,"Av. Paulista, 729",Campinas,02547-173,fac_mptrcs_01,,approved,not_applicable
stu_mptrcs_t3_08,Camila Ribeiro Bittencourt,Camila,Ribeiro,Bittencourt,52447823550,camila.bittencourt_338@ipen.br,(11) 98174-0802,RA2024008,RA2024008,comp_ies_ipen,alumni,graduated,f,1993-07-22,2024-03-01,Lúcia Célia Bittencourt,brown,False,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-4038-0494,http://lattes.cnpq.br/524478235500002,"Rua da Consolação, 746",Ribeirão Preto,02578-192,fac_mptrcs_02,,approved,not_applicable
stu_mptrcs_t3_09,Julio Soares Esteves,Julio,Soares,Esteves,71452372373,julio.esteves_339@ipen.br,(11) 98197-0831,RA2024009,RA2024009,comp_ies_ipen,alumni,graduated,m,1994-07-22,2024-03-01,Sandra Beatriz Esteves,brown,False,São José dos Campos,SP,base.br,bachelor,grad,0000-0002-4039-0507,http://lattes.cnpq.br/714523723730002,"Rua Augusta, 763",São José dos Campos,02609-211,fac_mptrcs_03,,approved,not_applicable
stu_mptrcs_t3_10,Larissa Cardoso Linhares,Larissa,Cardoso,Linhares,17922277792,larissa.linhares_340@ipen.br,(11) 98220-0860,RA2024010,RA2024010,comp_ies_ipen,alumni,graduated,f,1995-07-22,2024-03-01,Maria das Graças Linhares,black,False,Santos,SP,base.br,bachelor,grad,0000-0002-4040-0520,http://lattes.cnpq.br/179222777920002,"Rua Vergueiro, 780",Santos,02640-230,fac_mptrcs_04,fac_mptrcs_08,approved,not_applicable
stu_mptrcs_t3_11,Luiz Fernandes Meneses,Luiz,Fernandes,Meneses,15213291686,luiz.meneses_341@ipen.br,(11) 98243-0889,RA2024011,RA2024011,comp_ies_ipen,alumni,graduated,m,1996-07-22,2024-03-01,Sônia Aparecida Meneses,yellow,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-4041-0533,http://lattes.cnpq.br/152132916860002,"Av. Rebouças, 797",Sorocaba,02671-249,fac_mptrcs_05,,approved,not_applicable
stu_mptrcs_t3_12,Patricia Martins Penna,Patricia,Martins,Penna,96457520944,patricia.penna_342@ipen.br,(11) 98266-0918,RA2024012,RA2024012,comp_ies_ipen,alumni,graduated,f,1997-07-22,2024-03-01,Lúcia Helena Penna,indigenous,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-4042-0546,http://lattes.cnpq.br/964575209440002,"Rua Domingos de Morais, 814",Belo Horizonte,02702-268,fac_mptrcs_06,,approved,not_applicable
stu_mptrcs_t3_13,Marcio Nascimento Rolim,Marcio,Nascimento,Rolim,97029535618,marcio.rolim_343@ipen.br,(11) 98289-0947,RA2024013,RA2024013,comp_ies_ipen,regular,enrolled,m,1998-07-22,2024-03-01,Sandra do Carmo Rolim,white,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-4043-0559,http://lattes.cnpq.br/970295356180002,"Av. Angélica, 831",Curitiba,02733-287,fac_mptrcs_07,,approved,not_applicable
stu_mptrcs_t3_14,Leticia Rocha Valadao,Leticia,Rocha,Valadao,30745264670,leticia.valadao_344@ipen.br,(11) 98312-0976,RA2024014,RA2024014,comp_ies_ipen,regular,enrolled,f,1999-07-22,2024-03-01,Maria de Lourdes Valadao,white,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-4044-0572,http://lattes.cnpq.br/307452646700002,"Rua Teodoro Sampaio, 848",Rio de Janeiro,02764-306,fac_mptrcs_08,fac_mptrcs_12,approved,not_applicable
stu_mptrcs_t3_15,Mateus Sousa Barcellos,Mateus,Sousa,Barcellos,49970907190,mateus.barcellos_345@ipen.br,(11) 98335-1005,RA2024015,RA2024015,comp_ies_ipen,regular,enrolled,m,1991-07-22,2024-03-01,Sônia Cristina Barcellos,brown,False,Porto Alegre,RS,base.br,bachelor,grad,0000-0002-4045-0585,http://lattes.cnpq.br/499709071900002,"Av. Faria Lima, 865",Porto Alegre,02795-325,fac_mptrcs_09,,approved,not_applicable
stu_mptrcs_t4_01,Adriana Carvalho Delgado,Adriana,Carvalho,Delgado,82276225424,adriana.delgado_346@ipen.br,(11) 98358-1034,RA2025001,RA2025001,comp_ies_ipen,regular,enrolled,f,1992-07-22,2025-03-01,Lúcia Célia Delgado,brown,False,Salvador,BA,base.br,bachelor,grad,0000-0002-4046-0598,http://lattes.cnpq.br/822762254240002,"Rua Bela Cintra, 882",Salvador,02826-344,fac_mptrcs_10,,approved,not_applicable
stu_mptrcs_t4_02,Murilo Ferreira Leite,Murilo,Ferreira,Leite,70696127881,murilo.leite_347@ipen.br,(11) 98381-1063,RA2025002,RA2025002,comp_ies_ipen,regular,enrolled,m,1993-07-22,2025-03-01,Sandra Beatriz Leite,black,False,Recife,PE,base.br,bachelor,grad,0000-0002-4047-0611,http://lattes.cnpq.br/706961278810002,"Av. Brigadeiro Luís Antônio, 899",Recife,02857-363,fac_mptrcs_11,,approved,not_applicable
stu_mptrcs_t4_03,Ana Melo Matos,Ana,Melo,Matos,74913091603,ana.matos_348@ipen.br,(11) 98404-1092,RA2025003,RA2025003,comp_ies_ipen,regular,enrolled,f,1994-07-22,2025-03-01,Maria das Graças Matos,yellow,False,São Paulo,SP,base.br,bachelor,grad,0000-0002-4048-0624,http://lattes.cnpq.br/749130916030002,"Av. Lineu Prestes, 916",São Paulo,02888-382,fac_mptrcs_12,fac_mptrcs_04,approved,not_applicable
stu_mptrcs_t4_04,Otávio Nogueira Novais,Otávio,Nogueira,Novais,65494472167,otávio.novais_349@ipen.br,(11) 98427-1121,RA2025004,RA2025004,comp_ies_ipen,regular,enrolled,m,1995-07-22,2025-03-01,Sônia Aparecida Novais,indigenous,False,Campinas,SP,base.br,bachelor,grad,0000-0002-4049-0637,http://lattes.cnpq.br/654944721670002,"Av. Paulista, 933",Campinas,02919-401,fac_mptrcs_01,,approved,not_applicable
stu_mptrcs_t4_05,Bruna Rodrigues Resende,Bruna,Rodrigues,Resende,54683161028,bruna.resende_350@ipen.br,(11) 98450-1150,RA2025005,RA2025005,comp_ies_ipen,regular,enrolled,f,1996-07-22,2025-03-01,Lúcia Helena Resende,white,True,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-4050-0650,http://lattes.cnpq.br/546831610280002,"Rua da Consolação, 100",Ribeirão Preto,02950-420,fac_mptrcs_02,,approved,not_applicable
stu_mptrcs_t4_06,Pedro Souza Tavora,Pedro,Souza,Tavora,86494314376,pedro.tavora_351@ipen.br,(11) 98473-1179,RA2025006,RA2025006,comp_ies_ipen,regular,enrolled,m,1997-07-22,2025-03-01,Sandra do Carmo Tavora,white,False,São José dos Campos,SP,base.br,bachelor,grad,0000-0002-4051-0663,http://lattes.cnpq.br/864943143760002,"Rua Augusta, 117",São José dos Campos,02981-439,fac_mptrcs_03,,approved,not_applicable
stu_mptrcs_t4_07,Carolina Cavalcanti Amaral,Carolina,Cavalcanti,Amaral,60100452744,carolina.amaral_352@ipen.br,(11) 98496-1208,RA2025007,RA2025007,comp_ies_ipen,regular,enrolled,f,1998-07-22,2025-03-01,Maria de Lourdes Amaral,brown,False,Santos,SP,base.br,bachelor,grad,0000-0002-4052-0676,http://lattes.cnpq.br/601004527440002,"Rua Vergueiro, 134",Santos,03012-458,fac_mptrcs_04,fac_mptrcs_08,approved,not_applicable
stu_mptrcs_t4_08,Renato Gomes Cordeiro,Renato,Gomes,Cordeiro,98795647317,renato.cordeiro_353@ipen.br,(11) 98519-1237,RA2025008,RA2025008,comp_ies_ipen,regular,enrolled,m,1999-07-22,2025-03-01,Sônia Cristina Cordeiro,brown,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-4053-0689,http://lattes.cnpq.br/987956473170002,"Av. Rebouças, 151",Sorocaba,03043-477,fac_mptrcs_05,,approved,not_applicable
stu_mptrcs_t4_09,Cláudia Mendes Junqueira,Cláudia,Mendes,Junqueira,93107658103,cláudia.junqueira_354@ipen.br,(11) 98542-1266,RA2025009,RA2025009,comp_ies_ipen,regular,enrolled,f,1991-07-22,2025-03-01,Lúcia Célia Junqueira,black,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-4054-0702,http://lattes.cnpq.br/931076581030002,"Rua Domingos de Morais, 168",Belo Horizonte,03074-496,fac_mptrcs_06,,approved,not_applicable
stu_mptrcs_t4_10,Samuel Oliveira Marinho,Samuel,Oliveira,Marinho,65588902246,samuel.marinho_355@ipen.br,(11) 98565-1295,RA2025010,RA2025010,comp_ies_ipen,regular,enrolled,m,1992-07-22,2025-03-01,Sandra Beatriz Marinho,yellow,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-4055-0715,http://lattes.cnpq.br/655889022460002,"Av. Angélica, 185",Curitiba,03105-515,fac_mptrcs_07,,approved,not_applicable
stu_mptrcs_t4_11,Daniela Santana Nobrega,Daniela,Santana,Nobrega,22221226194,daniela.nobrega_356@ipen.br,(11) 98588-1324,RA2025011,RA2025011,comp_ies_ipen,regular,enrolled,f,1993-07-22,2025-03-01,Maria das Graças Nobrega,indigenous,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-4056-0728,http://lattes.cnpq.br/222212261940002,"Rua Teodoro Sampaio, 202",Rio de Janeiro,03136-534,fac_mptrcs_08,fac_mptrcs_12,approved,not_applicable
