id,title,name,thesis_id/id,student_id/id,type_id/id,final_stratum,trl_level,adherence_justif,state
ptt_stu_mptrcs_t1_14,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Rangel),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Rangel),thesis_stu_mptrcs_t1_14,stu_mptrcs_t1_14,l10n_br_openeducat_capes_ptt.ptt_type_t13,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_15,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Sobral),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Sobral),thesis_stu_mptrcs_t1_15,stu_mptrcs_t1_15,l10n_br_openeducat_capes_ptt.ptt_type_t19,T1,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_01,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Alcantara),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Alcantara),thesis_stu_mptrcs_t2_01,stu_mptrcs_t2_01,l10n_br_openeducat_capes_ptt.ptt_type_t13,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_02,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Chaves),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Chaves),thesis_stu_mptrcs_t2_02,stu_mptrcs_t2_02,l10n_br_openeducat_capes_ptt.ptt_type_t19,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_03,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Guedes),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Guedes),thesis_stu_mptrcs_t2_03,stu_mptrcs_t2_03,l10n_br_openeducat_capes_ptt.ptt_type_t07,T1,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_04,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Marcondes),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Marcondes),thesis_stu_mptrcs_t2_04,stu_mptrcs_t2_04,l10n_br_openeducat_capes_ptt.ptt_type_t09,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_05,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Neves),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Neves),thesis_stu_mptrcs_t2_05,stu_mptrcs_t2_05,l10n_br_openeducat_capes_ptt.ptt_type_t13,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_06,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Porto),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Porto),thesis_stu_mptrcs_t2_06,stu_mptrcs_t2_06,l10n_br_openeducat_capes_ptt.ptt_type_t19,T1,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_07,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Serra),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Serra),thesis_stu_mptrcs_t2_07,stu_mptrcs_t2_07,l10n_br_openeducat_capes_ptt.ptt_type_t07,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_08,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Wanderley),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Wanderley),thesis_stu_mptrcs_t2_08,stu_mptrcs_t2_08,l10n_br_openeducat_capes_ptt.ptt_type_t09,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_09,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Camargo),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Camargo),thesis_stu_mptrcs_t2_09,stu_mptrcs_t2_09,l10n_br_openeducat_capes_ptt.ptt_type_t13,T1,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_10,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Fragoso),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Fragoso),thesis_stu_mptrcs_t2_10,stu_mptrcs_t2_10,l10n_br_openeducat_capes_ptt.ptt_type_t19,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_11,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Maia),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Maia),thesis_stu_mptrcs_t2_11,stu_mptrcs_t2_11,l10n_br_openeducat_capes_ptt.ptt_type_t07,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_12,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Muniz),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Muniz),thesis_stu_mptrcs_t2_12,stu_mptrcs_t2_12,l10n_br_openeducat_capes_ptt.ptt_type_t09,T1,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_13,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Pontes),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Pontes),thesis_stu_mptrcs_t2_13,stu_mptrcs_t2_13,l10n_br_openeducat_capes_ptt.ptt_type_t13,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_14,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Sardenberg),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Sardenberg),thesis_stu_mptrcs_t2_14,stu_mptrcs_t2_14,l10n_br_openeducat_capes_ptt.ptt_type_t19,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t2_15,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Vidal),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Vidal),thesis_stu_mptrcs_t2_15,stu_mptrcs_t2_15,l10n_br_openeducat_capes_ptt.ptt_type_t07,T1,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_01,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Bueno),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Bueno),thesis_stu_mptrcs_t3_01,stu_mptrcs_t3_01,l10n_br_openeducat_capes_ptt.ptt_type_t19,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_02,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Figueira),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Figueira),thesis_stu_mptrcs_t3_02,stu_mptrcs_t3_02,l10n_br_openeducat_capes_ptt.ptt_type_t07,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_03,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Loyola),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Loyola),thesis_stu_mptrcs_t3_03,stu_mptrcs_t3_03,l10n_br_openeducat_capes_ptt.ptt_type_t09,T1,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_04,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Montenegro),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Montenegro),thesis_stu_mptrcs_t3_04,stu_mptrcs_t3_04,l10n_br_openeducat_capes_ptt.ptt_type_t13,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_05,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Pimentel),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Pimentel),thesis_stu_mptrcs_t3_05,stu_mptrcs_t3_05,l10n_br_openeducat_capes_ptt.ptt_type_t19,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_06,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Salles),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Salles),thesis_stu_mptrcs_t3_06,stu_mptrcs_t3_06,l10n_br_openeducat_capes_ptt.ptt_type_t07,T1,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_07,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Valle),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Valle),thesis_stu_mptrcs_t3_07,stu_mptrcs_t3_07,l10n_br_openeducat_capes_ptt.ptt_type_t09,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_08,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Bittencourt),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Bittencourt),thesis_stu_mptrcs_t3_08,stu_mptrcs_t3_08,l10n_br_openeducat_capes_ptt.ptt_type_t13,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_09,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Esteves),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Esteves),thesis_stu_mptrcs_t3_09,stu_mptrcs_t3_09,l10n_br_openeducat_capes_ptt.ptt_type_t19,T1,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_10,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Linhares),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Linhares),thesis_stu_mptrcs_t3_10,stu_mptrcs_t3_10,l10n_br_openeducat_capes_ptt.ptt_type_t07,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_11,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Meneses),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Meneses),thesis_stu_mptrcs_t3_11,stu_mptrcs_t3_11,l10n_br_openeducat_capes_ptt.ptt_type_t09,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t3_12,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Penna),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Penna),thesis_stu_mptrcs_t3_12,stu_mptrcs_t3_12,l10n_br_openeducat_capes_ptt.ptt_type_t13,T1,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
