id,student_id/id,work_plan_id/id,title,doc_type,stage,status,defense_date,repository_url
thesis_stu_mptrcs_t1_11,stu_mptrcs_t1_11,wp_stu_mptrcs_t1_11,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Lacerda,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/11
thesis_stu_mptrcs_t1_12,stu_mptrcs_t1_12,wp_stu_mptrcs_t1_12,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Mascarenhas,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/12
thesis_stu_mptrcs_t1_13,stu_mptrcs_t1_13,wp_stu_mptrcs_t1_13,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Noronha,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/13
thesis_stu_mptrcs_t1_14,stu_mptrcs_t1_14,wp_stu_mptrcs_t1_14,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Rangel,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/14
thesis_stu_mptrcs_t1_15,stu_mptrcs_t1_15,wp_stu_mptrcs_t1_15,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Sobral,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/15
thesis_stu_mptrcs_t2_01,stu_mptrcs_t2_01,wp_stu_mptrcs_t2_01,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Alcantara,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/16
thesis_stu_mptrcs_t2_02,stu_mptrcs_t2_02,wp_stu_mptrcs_t2_02,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Chaves,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/17
thesis_stu_mptrcs_t2_03,stu_mptrcs_t2_03,wp_stu_mptrcs_t2_03,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Guedes,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/18
thesis_stu_mptrcs_t2_04,stu_mptrcs_t2_04,wp_stu_mptrcs_t2_04,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Marcondes,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/19
thesis_stu_mptrcs_t2_05,stu_mptrcs_t2_05,wp_stu_mptrcs_t2_05,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Neves,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/20
thesis_stu_mptrcs_t2_06,stu_mptrcs_t2_06,wp_stu_mptrcs_t2_06,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Porto,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/21
thesis_stu_mptrcs_t2_07,stu_mptrcs_t2_07,wp_stu_mptrcs_t2_07,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Serra,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/22
thesis_stu_mptrcs_t2_08,stu_mptrcs_t2_08,wp_stu_mptrcs_t2_08,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Wanderley,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/23
thesis_stu_mptrcs_t2_09,stu_mptrcs_t2_09,wp_stu_mptrcs_t2_09,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Camargo,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/24
thesis_stu_mptrcs_t2_10,stu_mptrcs_t2_10,wp_stu_mptrcs_t2_10,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Fragoso,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/25
thesis_stu_mptrcs_t2_11,stu_mptrcs_t2_11,wp_stu_mptrcs_t2_11,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Maia,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/26
thesis_stu_mptrcs_t2_12,stu_mptrcs_t2_12,wp_stu_mptrcs_t2_12,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Muniz,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/27
thesis_stu_mptrcs_t2_13,stu_mptrcs_t2_13,wp_stu_mptrcs_t2_13,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Pontes,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/28
thesis_stu_mptrcs_t2_14,stu_mptrcs_t2_14,wp_stu_mptrcs_t2_14,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Sardenberg,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/29
thesis_stu_mptrcs_t2_15,stu_mptrcs_t2_15,wp_stu_mptrcs_t2_15,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Vidal,dissertation,defense,homologated,2025-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/30
thesis_stu_mptrcs_t3_01,stu_mptrcs_t3_01,wp_stu_mptrcs_t3_01,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Bueno,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/31
thesis_stu_mptrcs_t3_02,stu_mptrcs_t3_02,wp_stu_mptrcs_t3_02,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Figueira,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/32
thesis_stu_mptrcs_t3_03,stu_mptrcs_t3_03,wp_stu_mptrcs_t3_03,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Loyola,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/33
thesis_stu_mptrcs_t3_04,stu_mptrcs_t3_04,wp_stu_mptrcs_t3_04,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Montenegro,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/34
thesis_stu_mptrcs_t3_05,stu_mptrcs_t3_05,wp_stu_mptrcs_t3_05,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Pimentel,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/35
thesis_stu_mptrcs_t3_06,stu_mptrcs_t3_06,wp_stu_mptrcs_t3_06,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Salles,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/36
thesis_stu_mptrcs_t3_07,stu_mptrcs_t3_07,wp_stu_mptrcs_t3_07,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Valle,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/37
thesis_stu_mptrcs_t3_08,stu_mptrcs_t3_08,wp_stu_mptrcs_t3_08,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Bittencourt,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/38
thesis_stu_mptrcs_t3_09,stu_mptrcs_t3_09,wp_stu_mptrcs_t3_09,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Esteves,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/39
thesis_stu_mptrcs_t3_10,stu_mptrcs_t3_10,wp_stu_mptrcs_t3_10,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Linhares,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/40
thesis_stu_mptrcs_t3_11,stu_mptrcs_t3_11,wp_stu_mptrcs_t3_11,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Meneses,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/41
thesis_stu_mptrcs_t3_12,stu_mptrcs_t3_12,wp_stu_mptrcs_t3_12,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Penna,dissertation,defense,homologated,2026-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/42
