id,name,first_name,middle_name,last_name,cpf,email,phone,gender,birth_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,work_regime,workload,degree_level,degree_area,degree_ies,orcid,lattes_url,street,city,zip
fac_xyzq_11,Igor Nogueira Valle,Igor,Nogueira,Valle,99850834315,igor.valle_21@xyzq.edu.br,(11) 98483-0609,male,1979-05-15,Sônia Aparecida Valle,white,False,Porto Alegre,RS,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0011,http://lattes.cnpq.br/998508343150001,"Av. Faria Lima, 457",Porto Alegre,01651-399
fac_xyzq_12,Eduarda Rodrigues Bittencourt,Eduarda,Rodrigues,Bittencourt,83504085371,eduarda.bittencourt_22@xyzq.edu.br,(11) 98506-0638,female,1980-05-15,Lúcia Helena Bittencourt,white,False,Salvador,BA,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0012,http://lattes.cnpq.br/835040853710001,"Rua Bela Cintra, 474",Salvador,01682-418
fac_xyzq_13,José Souza Esteves,José,Souza,Esteves,75864578401,josé.esteves_23@xyzq.edu.br,(11) 98529-0667,male,1981-05-15,Sandra do Carmo Esteves,brown,False,Recife,PE,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0013,http://lattes.cnpq.br/758645784010001,"Av. Brigadeiro Luís Antônio, 491",Recife,01713-437
fac_xyzq_14,Fabiana Cavalcanti Linhares,Fabiana,Cavalcanti,Linhares,76610482721,fabiana.linhares_24@xyzq.edu.br,(11) 98552-0696,female,1982-05-15,Maria de Lourdes Linhares,brown,False,São Paulo,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0014,http://lattes.cnpq.br/766104827210001,"Av. Lineu Prestes, 508",São Paulo,01744-456
fac_xyzq_15,Leonardo Gomes Meneses,Leonardo,Gomes,Meneses,51730559956,leonardo.meneses_25@xyzq.edu.br,(11) 98575-0725,male,1983-05-15,Sônia Cristina Meneses,black,True,Campinas,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0015,http://lattes.cnpq.br/517305599560001,"Av. Paulista, 525",Campinas,01775-475
fac_xyzq_16,Flávia Mendes Penna,Flávia,Mendes,Penna,92885658177,flávia.penna_26@xyzq.edu.br,(11) 98598-0754,female,1984-05-15,Lúcia Célia Penna,yellow,False,Ribeirão Preto,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0016,http://lattes.cnpq.br/928856581770001,"Rua da Consolação, 542",Ribeirão Preto,01806-494
fac_xyzq_17,Marcelo Oliveira Rolim,Marcelo,Oliveira,Rolim,25408267091,marcelo.rolim_27@xyzq.edu.br,(11) 98621-0783,male,1985-05-15,Sandra Beatriz Rolim,indigenous,False,São José dos Campos,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0017,http://lattes.cnpq.br/254082670910001,"Rua Augusta, 559",São José dos Campos,01837-513
fac_xyzq_18,Gisele Santana Valadao,Gisele,Santana,Valadao,15312288608,gisele.valadao_28@xyzq.edu.br,(11) 98644-0812,female,1986-05-15,Maria das Graças Valadao,white,False,Santos,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0018,http://lattes.cnpq.br/153122886080001,"Rua Vergueiro, 576",Santos,01868-532
fac_xyzq_19,Marcos Teixeira Barcellos,Marcos,Teixeira,Barcellos,27747329482,marcos.barcellos_29@xyzq.edu.br,(11) 98667-0841,male,1987-05-15,Sônia Aparecida Barcellos,white,False,Sorocaba,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0019,http://lattes.cnpq.br/277473294820001,"Av. Rebouças, 593",Sorocaba,01899-551
fac_xyzq_20,Isabela Correia Delgado,Isabela,Correia,Delgado,49836161449,isabela.delgado_30@xyzq.edu.br,(11) 98690-0870,female,1968-05-15,Lúcia Helena Delgado,brown,False,Belo Horizonte,MG,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0020,http://lattes.cnpq.br/498361614490001,"Rua Domingos de Morais, 610",Belo Horizonte,01930-570
fac_xyzq_21,Maurício Guimarães Leite,Maurício,Guimarães,Leite,60575319909,maurício.leite_31@xyzq.edu.br,(11) 98713-0899,male,1969-05-15,Sandra do Carmo Leite,brown,False,Curitiba,PR,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0021,http://lattes.cnpq.br/605753199090001,"Av. Angélica, 627",Curitiba,01961-589
fac_xyzq_22,Jaqueline Miranda Matos,Jaqueline,Miranda,Matos,36859910941,jaqueline.matos_32@xyzq.edu.br,(11) 98736-0928,female,1970-05-15,Maria de Lourdes Matos,black,False,Rio de Janeiro,RJ,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0022,http://lattes.cnpq.br/368599109410001,"Rua Teodoro Sampaio, 644",Rio de Janeiro,01992-608
fac_xyzq_23,Nelson Pereira Novais,Nelson,Pereira,Novais,85499824827,nelson.novais_33@xyzq.edu.br,(11) 98759-0957,male,1971-05-15,Sônia Cristina Novais,yellow,False,Porto Alegre,RS,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0023,http://lattes.cnpq.br/854998248270001,"Av. Faria Lima, 661",Porto Alegre,02023-627
fac_xyzq_24,Laura Santos Resende,Laura,Santos,Resende,70744182000,laura.resende_34@xyzq.edu.br,(11) 98782-0986,female,1972-05-15,Lúcia Célia Resende,indigenous,False,Salvador,BA,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0024,http://lattes.cnpq.br/707441820000001,"Rua Bela Cintra, 678",Salvador,02054-646
fac_xyzq_25,Paulo Vieira Tavora,Paulo,Vieira,Tavora,14063576850,paulo.tavora_35@xyzq.edu.br,(11) 98805-1015,male,1973-05-15,Sandra Beatriz Tavora,white,False,Recife,PE,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0025,http://lattes.cnpq.br/140635768500001,"Av. Brigadeiro Luís Antônio, 695",Recife,02085-665
