id,student_id/id,work_plan_id/id,title,doc_type,stage,status,defense_date,repository_url
thesis_stu_ppgbm_01,stu_ppgbm_01,wp_stu_ppgbm_01,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Penteado,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243001
thesis_stu_ppgbm_02,stu_ppgbm_02,wp_stu_ppgbm_02,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Saldanha,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243002
thesis_stu_ppgbm_03,stu_ppgbm_03,wp_stu_ppgbm_03,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Valenca,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243003
thesis_stu_ppgbm_04,stu_ppgbm_04,wp_stu_ppgbm_04,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Barreto,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243004
thesis_stu_ppgbm_05,stu_ppgbm_05,wp_stu_ppgbm_05,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Drummond,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243005
thesis_stu_ppgbm_06,stu_ppgbm_06,wp_stu_ppgbm_06,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Lemos,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243006
thesis_stu_ppgbm_07,stu_ppgbm_07,wp_stu_ppgbm_07,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Mello,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243007
thesis_stu_ppgbm_08,stu_ppgbm_08,wp_stu_ppgbm_08,Investigação Avançada e Inovação Tecnológica em PPGBM - Discente Padilha,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20243008
thesis_stu_mpesi_01,stu_mpesi_01,wp_stu_mpesi_01,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Marcondes,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244001
thesis_stu_mpesi_02,stu_mpesi_02,wp_stu_mpesi_02,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Neves,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244002
thesis_stu_mpesi_03,stu_mpesi_03,wp_stu_mpesi_03,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Porto,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244003
thesis_stu_mpesi_04,stu_mpesi_04,wp_stu_mpesi_04,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Serra,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244004
thesis_stu_mpesi_05,stu_mpesi_05,wp_stu_mpesi_05,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Wanderley,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244005
thesis_stu_mpesi_06,stu_mpesi_06,wp_stu_mpesi_06,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Camargo,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244006
thesis_stu_mpesi_07,stu_mpesi_07,wp_stu_mpesi_07,Investigação Avançada e Inovação Tecnológica em MPESI - Discente Fragoso,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20244007
